State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value
DE,2015,April,12 month-ending,Heroin (T40.1),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,Percent with drugs specified,80,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,
DE,2015,April,12 month-ending,Number of Drug Overdose Deaths,200,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,200
DE,2015,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,Cocaine (T40.5),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,Methadone (T40.3),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,April,12 month-ending,Number of Deaths,8580,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,
DE,2015,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,August,12 month-ending,Number of Drug Overdose Deaths,192,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,192
DE,2015,August,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
DE,2015,August,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,August,12 month-ending,Cocaine (T40.5),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,August,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,August,12 month-ending,Methadone (T40.3),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,August,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,August,12 month-ending,Percent with drugs specified,82.8125,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,
DE,2015,August,12 month-ending,Number of Deaths,8648,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,
DE,2015,August,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,August,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,August,12 month-ending,Heroin (T40.1),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
DE,2015,December,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
DE,2015,December,12 month-ending,Number of Drug Overdose Deaths,195,100,0,Delaware,Numbers may differ from published reports using final data. See Technical Notes.,**,195
