Year,Month,ST_ABBREV,STATE_NAME,COUNTYNAME,Overdose Deaths,,,
2022,1,DE,Delaware,Kent,96,,,
2022,2,DE,Delaware,Kent,94,,,
2022,3,DE,Delaware,Kent,95,,,
2022,4,DE,Delaware,Kent,98,,,
2022,5,DE,Delaware,Kent,100,,,
2022,6,DE,Delaware,Kent,105,,,
2022,7,DE,Delaware,Kent,108,,,
2022,8,DE,Delaware,Kent,107,,,
2022,9,DE,Delaware,Kent,115,,,
2022,10,DE,Delaware,Kent,106,,,
2022,11,DE,Delaware,Kent,98,,,
2022,12,DE,Delaware,Kent,95,,,
,,,,,,,,
2022,2,DE,Delaware,New Castle,316,,,
2022,10,DE,Delaware,New Castle,325,,,
2022,11,DE,Delaware,New Castle,322,,,
2022,8,DE,Delaware,New Castle,326,,,
2022,12,DE,Delaware,New Castle,324,,,
2022,1,DE,Delaware,New Castle,319,,,
2022,3,DE,Delaware,New Castle,314,,,
2022,4,DE,Delaware,New Castle,312,,,
2022,5,DE,Delaware,New Castle,315,,,
2022,7,DE,Delaware,New Castle,325,,,
2022,9,DE,Delaware,New Castle,325,,,
2022,6,DE,Delaware,New Castle,318,,,
,,,,,,,,
2022,9,DE,Delaware,Sussex,122,,,
2022,12,DE,Delaware,Sussex,130,,,
2022,8,DE,Delaware,Sussex,113,,,
2022,7,DE,Delaware,Sussex,108,,,
2022,11,DE,Delaware,Sussex,129,,,
2022,6,DE,Delaware,Sussex,114,,,
2022,5,DE,Delaware,Sussex,111,,,
2022,1,DE,Delaware,Sussex,106,,,
2022,10,DE,Delaware,Sussex,124,,,
2022,3,DE,Delaware,Sussex,106,,,
2022,2,DE,Delaware,Sussex,105,,,
2022,4,DE,Delaware,Sussex,102,,,
